cell_id,essay_id,trait,purpose,family,rationale_excerpt,detected
2,13451,expression_2,설득,dis_nonSBERT,"'이 떄'(때), '좋지 않는'(않은), '바람직하지 않는'(않은), '생각해야한다'(해야 한다), '나아가야한다'(나아가야 한다) 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
2,13451,expression_2,설득,lex,"'이 떄'(때), '좋지 않는'(않은), '바람직하지 않는'(않은), '생각해야한다'(해야 한다), '나아가야한다'(나아가야 한다) 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
2,13451,expression_2,설득,meta,"'이 떄'(때), '좋지 않는'(않은), '바람직하지 않는'(않은), '생각해야한다'(해야 한다), '나아가야한다'(나아가야 한다) 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
2,13451,expression_2,설득,morph_prop,"'이 떄'(때), '좋지 않는'(않은), '바람직하지 않는'(않은), '생각해야한다'(해야 한다), '나아가야한다'(나아가야 한다) 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",1
2,13451,expression_2,설득,syn,"'이 떄'(때), '좋지 않는'(않은), '바람직하지 않는'(않은), '생각해야한다'(해야 한다), '나아가야한다'(나아가야 한다) 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",1
2,13451,expression_2,설득,vocab_grade,"'이 떄'(때), '좋지 않는'(않은), '바람직하지 않는'(않은), '생각해야한다'(해야 한다), '나아가야한다'(나아가야 한다) 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
3,7130,expression_2,설명,case_marker,"'해상물'은 '해산물'의 오기이며, '사용된다'는 주어 불일치 문제가 있으나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
3,7130,expression_2,설명,dis_SBERT,"'해상물'은 '해산물'의 오기이며, '사용된다'는 주어 불일치 문제가 있으나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
3,7130,expression_2,설명,dis_nonSBERT,"해상물'은 '해산물'의 오기이며, '사용된다'는 주어 불일치 문제가 있으나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
3,7130,expression_2,설명,lex,"'해상물'은 '해산물'의 오기이며, '사용된다'는 주어 불일치 문제가 있으나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
3,7130,expression_2,설명,meta,"'해상물'은 '해산물'의 오기이며, '사용된다'는 주어 불일치 문제가 있으나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
3,7130,expression_2,설명,morph_prop,"'해상물'은 '해산물'의 오기이며, '사용된다'는 주어 불일치 문제가 있으나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",1
3,7130,expression_2,설명,syn,"'해상물'은 '해산물'의 오기이며, '사용된다'는 주어 불일치 문제가 있으나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",1
3,7130,expression_2,설명,vocab_grade,"'해상물'은 '해산물'의 오기이며, '사용된다'는 주어 불일치 문제가 있으나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
4,4378,organization_1,설명,case_marker,"각 문단이 분단 배경, 현재 상황, 남북 차이, 통일 필요성으로 구분되나 소주제 중심의 체계적 구성은 미흡하다. '하지만', '다음과 같다' 등 연결 표현을 사용하였으나 문단 간 논리적 연결이 부분적으로 어색하다.",0
4,4378,organization_1,설명,dis_SBERT,"각 문단이 분단 배경, 현재 상황, 남북 차이, 통일 필요성으로 구분되나 소주제 중심의 체계적 구성은 미흡하다. '하지만', '다음과 같다' 등 연결 표현을 사용하였으나 문단 간 논리적 연결이 부분적으로 어색하다.",1
4,4378,organization_1,설명,dis_nonSBERT,"각 문단이 분단 배경, 현재 상황, 남북 차이, 통일 필요성으로 구분되나 소주제 중심의 체계적 구성은 미흡하다. '하지만', '다음과 같다' 등 연결 표현을 사용하였으나 문단 간 논리적 연결이 부분적으로 어색하다.",1
4,4378,organization_1,설명,lex,"각 문단이 분단 배경, 현재 상황, 남북 차이, 통일 필요성으로 구분되나 소주제 중심의 체계적 구성은 미흡하다. '하지만', '다음과 같다' 등 연결 표현을 사용하였으나 문단 간 논리적 연결이 부분적으로 어색하다.",0
4,4378,organization_1,설명,meta,"각 문단이 분단 배경, 현재 상황, 남북 차이, 통일 필요성으로 구분되나 소주제 중심의 체계적 구성은 미흡하다. '하지만', '다음과 같다' 등 연결 표현을 사용하였으나 문단 간 논리적 연결이 부분적으로 어색하다.",0
4,4378,organization_1,설명,morph_prop,"각 문단이 분단 배경, 현재 상황, 남북 차이, 통일 필요성으로 구분되나 소주제 중심의 체계적 구성은 미흡하다. '하지만', '다음과 같다' 등 연결 표현을 사용하였으나 문단 간 논리적 연결이 부분적으로 어색하다.",0
4,4378,organization_1,설명,syn,"각 문단이 분단 배경, 현재 상황, 남북 차이, 통일 필요성으로 구분되나 소주제 중심의 체계적 구성은 미흡하다. '하지만', '다음과 같다' 등 연결 표현을 사용하였으나 문단 간 논리적 연결이 부분적으로 어색하다.",0
4,4378,organization_1,설명,vocab_grade,"각 문단이 분단 배경, 현재 상황, 남북 차이, 통일 필요성으로 구분되나 소주제 중심의 체계적 구성은 미흡하다. '하지만', '다음과 같다' 등 연결 표현을 사용하였으나 문단 간 논리적 연결이 부분적으로 어색하다.",0
5,2354,content_1,설득,case_marker,언어의 필수성이라는 주장과 올바른 언어 사용 방법에 대한 주장을 명료하게 제시하였다. 특히 은어 사용 절제와 정확한 어휘 사용이라는 두 가지 방법을 구체적으로 제시하여 합리성을 갖춘 주장을 명료하게 전개하였다.,0
5,2354,content_1,설득,dis_SBERT,언어의 필수성이라는 주장과 올바른 언어 사용 방법에 대한 주장을 명료하게 제시하였다. 특히 은어 사용 절제와 정확한 어휘 사용이라는 두 가지 방법을 구체적으로 제시하여 합리성을 갖춘 주장을 명료하게 전개하였다.,1
5,2354,content_1,설득,dis_nonSBERT,언어의 필수성이라는 주장과 올바른 언어 사용 방법에 대한 주장을 명료하게 제시하였다. 특히 은어 사용 절제와 정확한 어휘 사용이라는 두 가지 방법을 구체적으로 제시하여 합리성을 갖춘 주장을 명료하게 전개하였다.,1
5,2354,content_1,설득,lex,언어의 필수성이라는 주장과 올바른 언어 사용 방법에 대한 주장을 명료하게 제시하였다. 특히 은어 사용 절제와 정확한 어휘 사용이라는 두 가지 방법을 구체적으로 제시하여 합리성을 갖춘 주장을 명료하게 전개하였다.,1
5,2354,content_1,설득,meta,언어의 필수성이라는 주장과 올바른 언어 사용 방법에 대한 주장을 명료하게 제시하였다. 특히 은어 사용 절제와 정확한 어휘 사용이라는 두 가지 방법을 구체적으로 제시하여 합리성을 갖춘 주장을 명료하게 전개하였다.,0
5,2354,content_1,설득,morph_prop,언어의 필수성이라는 주장과 올바른 언어 사용 방법에 대한 주장을 명료하게 제시하였다. 특히 은어 사용 절제와 정확한 어휘 사용이라는 두 가지 방법을 구체적으로 제시하여 합리성을 갖춘 주장을 명료하게 전개하였다.,0
5,2354,content_1,설득,syn,언어의 필수성이라는 주장과 올바른 언어 사용 방법에 대한 주장을 명료하게 제시하였다. 특히 은어 사용 절제와 정확한 어휘 사용이라는 두 가지 방법을 구체적으로 제시하여 합리성을 갖춘 주장을 명료하게 전개하였다.,0
5,2354,content_1,설득,vocab_grade,언어의 필수성이라는 주장과 올바른 언어 사용 방법에 대한 주장을 명료하게 제시하였다. 특히 은어 사용 절제와 정확한 어휘 사용이라는 두 가지 방법을 구체적으로 제시하여 합리성을 갖춘 주장을 명료하게 전개하였다.,0
6,2345,expression_2,설득,case_marker,"해야한다', '일상시에서', '은어등을', '있을것이다', '많은사람들의' 등에서 띄어쓰기 오류가 관찰되나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
6,2345,expression_2,설득,dis_SBERT,"'해야한다', '일상시에서', '은어등을', '있을것이다', '많은사람들의' 등에서 띄어쓰기 오류가 관찰되나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
6,2345,expression_2,설득,dis_nonSBERT,"'해야한다', '일상시에서', '은어등을', '있을것이다', '많은사람들의' 등에서 띄어쓰기 오류가 관찰되나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
6,2345,expression_2,설득,lex,"'해야한다', '일상시에서', '은어등을', '있을것이다', '많은사람들의' 등에서 띄어쓰기 오류가 관찰되나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
6,2345,expression_2,설득,meta,"'해야한다', '일상시에서', '은어등을', '있을것이다', '많은사람들의' 등에서 띄어쓰기 오류가 관찰되나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
6,2345,expression_2,설득,morph_prop,"'해야한다', '일상시에서', '은어등을', '있을것이다', '많은사람들의' 등에서 띄어쓰기 오류가 관찰되나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",1
6,2345,expression_2,설득,syn,"'해야한다', '일상시에서', '은어등을', '있을것이다', '많은사람들의' 등에서 띄어쓰기 오류가 관찰되나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
6,2345,expression_2,설득,vocab_grade,"'해야한다', '일상시에서', '은어등을', '있을것이다', '많은사람들의' 등에서 띄어쓰기 오류가 관찰되나, 전반적으로 어법에 맞는 맞춤법과 띄어쓰기를 사용하였다.",0
7,6434,content_1,설득,case_marker,독서 후 독서 토론의 필요성을 서두와 결론에서 명료하게 제시하였다. 주장이 일관되게 드러나며 독자가 글쓴이의 입장을 파악하는 데 어려움이 없다.,0
7,6434,content_1,설득,dis_SBERT,독서 후 독서 토론의 필요성을 서두와 결론에서 명료하게 제시하였다. 주장이 일관되게 드러나며 독자가 글쓴이의 입장을 파악하는 데 어려움이 없다.,1
7,6434,content_1,설득,dis_nonSBERT,독서 후 독서 토론의 필요성을 서두와 결론에서 명료하게 제시하였다. 주장이 일관되게 드러나며 독자가 글쓴이의 입장을 파악하는 데 어려움이 없다.,0
7,6434,content_1,설득,lex,독서 후 독서 토론의 필요성을 서두와 결론에서 명료하게 제시하였다. 주장이 일관되게 드러나며 독자가 글쓴이의 입장을 파악하는 데 어려움이 없다.,0
7,6434,content_1,설득,meta,독서 후 독서 토론의 필요성을 서두와 결론에서 명료하게 제시하였다. 주장이 일관되게 드러나며 독자가 글쓴이의 입장을 파악하는 데 어려움이 없다.,0
7,6434,content_1,설득,morph_prop,독서 후 독서 토론의 필요성을 서두와 결론에서 명료하게 제시하였다. 주장이 일관되게 드러나며 독자가 글쓴이의 입장을 파악하는 데 어려움이 없다.,0
7,6434,content_1,설득,syn,독서 후 독서 토론의 필요성을 서두와 결론에서 명료하게 제시하였다. 주장이 일관되게 드러나며 독자가 글쓴이의 입장을 파악하는 데 어려움이 없다.,0
7,6434,content_1,설득,vocab_grade,독서 후 독서 토론의 필요성을 서두와 결론에서 명료하게 제시하였다. 주장이 일관되게 드러나며 독자가 글쓴이의 입장을 파악하는 데 어려움이 없다.,0
8,6463,content_1,설득,case_marker,서두에서 '독서 후 독서 토론은 당연히 필요하다'는 주장을 제시하고 결론에서 '독서 후 독서 토론은 필수적이다'로 재확인하여 주장을 명료하게 제시하였다.,0
8,6463,content_1,설득,dis_SBERT,서두에서 '독서 후 독서 토론은 당연히 필요하다'는 주장을 제시하고 결론에서 '독서 후 독서 토론은 필수적이다'로 재확인하여 주장을 명료하게 제시하였다.,1
8,6463,content_1,설득,dis_nonSBERT,서두에서 '독서 후 독서 토론은 당연히 필요하다'는 주장을 제시하고 결론에서 '독서 후 독서 토론은 필수적이다'로 재확인하여 주장을 명료하게 제시하였다.,0
8,6463,content_1,설득,lex,서두에서 '독서 후 독서 토론은 당연히 필요하다'는 주장을 제시하고 결론에서 '독서 후 독서 토론은 필수적이다'로 재확인하여 주장을 명료하게 제시하였다.,0
8,6463,content_1,설득,meta,서두에서 '독서 후 독서 토론은 당연히 필요하다'는 주장을 제시하고 결론에서 '독서 후 독서 토론은 필수적이다'로 재확인하여 주장을 명료하게 제시하였다.,0
8,6463,content_1,설득,morph_prop,서두에서 '독서 후 독서 토론은 당연히 필요하다'는 주장을 제시하고 결론에서 '독서 후 독서 토론은 필수적이다'로 재확인하여 주장을 명료하게 제시하였다.,0
8,6463,content_1,설득,syn,서두에서 '독서 후 독서 토론은 당연히 필요하다'는 주장을 제시하고 결론에서 '독서 후 독서 토론은 필수적이다'로 재확인하여 주장을 명료하게 제시하였다.,0
8,6463,content_1,설득,vocab_grade,서두에서 '독서 후 독서 토론은 당연히 필요하다'는 주장을 제시하고 결론에서 '독서 후 독서 토론은 필수적이다'로 재확인하여 주장을 명료하게 제시하였다.,0
9,6876,organization_1,설득,case_marker,"논제 제시, 현황 분석, 결론으로 이어지는 구성에서 '그러나', '이렇듯' 등의 접속어를 사용하여 문장 간 연결성을 확보하였다.",0
9,6876,organization_1,설득,dis_SBERT,"논제 제시, 현황 분석, 결론으로 이어지는 구성에서 '그러나', '이렇듯' 등의 접속어를 사용하여 문장 간 연결성을 확보하였다.",0
9,6876,organization_1,설득,dis_nonSBERT,"논제 제시, 현황 분석, 결론으로 이어지는 구성에서 '그러나', '이렇듯' 등의 접속어를 사용하여 문장 간 연결성을 확보하였다.",1
9,6876,organization_1,설득,lex,"논제 제시, 현황 분석, 결론으로 이어지는 구성에서 '그러나', '이렇듯' 등의 접속어를 사용하여 문장 간 연결성을 확보하였다.",0
9,6876,organization_1,설득,meta,"논제 제시, 현황 분석, 결론으로 이어지는 구성에서 '그러나', '이렇듯' 등의 접속어를 사용하여 문장 간 연결성을 확보하였다.",0
9,6876,organization_1,설득,morph_prop,"논제 제시, 현황 분석, 결론으로 이어지는 구성에서 '그러나', '이렇듯' 등의 접속어를 사용하여 문장 간 연결성을 확보하였다.",0
9,6876,organization_1,설득,syn,"논제 제시, 현황 분석, 결론으로 이어지는 구성에서 '그러나', '이렇듯' 등의 접속어를 사용하여 문장 간 연결성을 확보하였다.",0
9,6876,organization_1,설득,vocab_grade,"논제 제시, 현황 분석, 결론으로 이어지는 구성에서 '그러나', '이렇듯' 등의 접속어를 사용하여 문장 간 연결성을 확보하였다.",0
10,2049,organization_1,설명,case_marker,"글은 '닭과 입장을 바꾸어 생각해 보자', '하지만 그렇게 따지면', '그래서 채식주의자는', '따라서 나는' 등의 연결 표현을 사용하여 문장 간 연결을 시도하였다. 그러나 소주제 중심의 체계적 구성이 미흡하고, 개인적 경험에서 비유, 반론, 건강 문제, 결론으로 이어지는 전개가 부분적으로 어색하다.",0
10,2049,organization_1,설명,dis_SBERT,"글은 '닭과 입장을 바꾸어 생각해 보자', '하지만 그렇게 따지면', '그래서 채식주의자는', '따라서 나는' 등의 연결 표현을 사용하여 문장 간 연결을 시도하였다. 그러나 소주제 중심의 체계적 구성이 미흡하고, 개인적 경험에서 비유, 반론, 건강 문제, 결론으로 이어지는 전개가 부분적으로 어색하다.",1
10,2049,organization_1,설명,dis_nonSBERT,"글은 '닭과 입장을 바꾸어 생각해 보자', '하지만 그렇게 따지면', '그래서 채식주의자는', '따라서 나는' 등의 연결 표현을 사용하여 문장 간 연결을 시도하였다. 그러나 소주제 중심의 체계적 구성이 미흡하고, 개인적 경험에서 비유, 반론, 건강 문제, 결론으로 이어지는 전개가 부분적으로 어색하다.",1
10,2049,organization_1,설명,lex,"글은 '닭과 입장을 바꾸어 생각해 보자', '하지만 그렇게 따지면', '그래서 채식주의자는', '따라서 나는' 등의 연결 표현을 사용하여 문장 간 연결을 시도하였다. 그러나 소주제 중심의 체계적 구성이 미흡하고, 개인적 경험에서 비유, 반론, 건강 문제, 결론으로 이어지는 전개가 부분적으로 어색하다.",0
10,2049,organization_1,설명,meta,"글은 '닭과 입장을 바꾸어 생각해 보자', '하지만 그렇게 따지면', '그래서 채식주의자는', '따라서 나는' 등의 연결 표현을 사용하여 문장 간 연결을 시도하였다. 그러나 소주제 중심의 체계적 구성이 미흡하고, 개인적 경험에서 비유, 반론, 건강 문제, 결론으로 이어지는 전개가 부분적으로 어색하다.",0
10,2049,organization_1,설명,morph_prop,"글은 '닭과 입장을 바꾸어 생각해 보자', '하지만 그렇게 따지면', '그래서 채식주의자는', '따라서 나는' 등의 연결 표현을 사용하여 문장 간 연결을 시도하였다. 그러나 소주제 중심의 체계적 구성이 미흡하고, 개인적 경험에서 비유, 반론, 건강 문제, 결론으로 이어지는 전개가 부분적으로 어색하다.",0
10,2049,organization_1,설명,syn,"글은 '닭과 입장을 바꾸어 생각해 보자', '하지만 그렇게 따지면', '그래서 채식주의자는', '따라서 나는' 등의 연결 표현을 사용하여 문장 간 연결을 시도하였다. 그러나 소주제 중심의 체계적 구성이 미흡하고, 개인적 경험에서 비유, 반론, 건강 문제, 결론으로 이어지는 전개가 부분적으로 어색하다.",0
10,2049,organization_1,설명,vocab_grade,"글은 '닭과 입장을 바꾸어 생각해 보자', '하지만 그렇게 따지면', '그래서 채식주의자는', '따라서 나는' 등의 연결 표현을 사용하여 문장 간 연결을 시도하였다. 그러나 소주제 중심의 체계적 구성이 미흡하고, 개인적 경험에서 비유, 반론, 건강 문제, 결론으로 이어지는 전개가 부분적으로 어색하다.",0
11,6751,organization_1,설득,case_marker,"역사 서술 부분에서 '그 다음에는', '이에', '결국', '그러자' 등의 연결어로 시간 순서를 구성하였으나, 전체 글이 논제와 무관한 내용으로 전개되어 소주제 중심 구성이 미흡하고 문단 간 연결이 부분적으로 어색하다.",0
11,6751,organization_1,설득,dis_SBERT,"역사 서술 부분에서 '그 다음에는', '이에', '결국', '그러자' 등의 연결어로 시간 순서를 구성하였으나, 전체 글이 논제와 무관한 내용으로 전개되어 소주제 중심 구성이 미흡하고 문단 간 연결이 부분적으로 어색하다.",1
11,6751,organization_1,설득,dis_nonSBERT,"역사 서술 부분에서 '그 다음에는', '이에', '결국', '그러자' 등의 연결어로 시간 순서를 구성하였으나, 전체 글이 논제와 무관한 내용으로 전개되어 소주제 중심 구성이 미흡하고 문단 간 연결이 부분적으로 어색하다.",1
11,6751,organization_1,설득,lex,"역사 서술 부분에서 '그 다음에는', '이에', '결국', '그러자' 등의 연결어로 시간 순서를 구성하였으나, 전체 글이 논제와 무관한 내용으로 전개되어 소주제 중심 구성이 미흡하고 문단 간 연결이 부분적으로 어색하다.",0
11,6751,organization_1,설득,meta,"역사 서술 부분에서 '그 다음에는', '이에', '결국', '그러자' 등의 연결어로 시간 순서를 구성하였으나, 전체 글이 논제와 무관한 내용으로 전개되어 소주제 중심 구성이 미흡하고 문단 간 연결이 부분적으로 어색하다.",0
11,6751,organization_1,설득,morph_prop,"역사 서술 부분에서 '그 다음에는', '이에', '결국', '그러자' 등의 연결어로 시간 순서를 구성하였으나, 전체 글이 논제와 무관한 내용으로 전개되어 소주제 중심 구성이 미흡하고 문단 간 연결이 부분적으로 어색하다.",0
11,6751,organization_1,설득,syn,"역사 서술 부분에서 '그 다음에는', '이에', '결국', '그러자' 등의 연결어로 시간 순서를 구성하였으나, 전체 글이 논제와 무관한 내용으로 전개되어 소주제 중심 구성이 미흡하고 문단 간 연결이 부분적으로 어색하다.",0
11,6751,organization_1,설득,vocab_grade,"역사 서술 부분에서 '그 다음에는', '이에', '결국', '그러자' 등의 연결어로 시간 순서를 구성하였으나, 전체 글이 논제와 무관한 내용으로 전개되어 소주제 중심 구성이 미흡하고 문단 간 연결이 부분적으로 어색하다.",0
12,13451,organization_1,설득,case_marker,"갈등의 정의, 부정적 인식, 필요악으로서의 재해석이라는 소주제를 중심으로 문단을 체계적으로 구성하였으며, '보통', '그래서', '예를 들어', '이렇듯' 등의 연결어를 통해 문장 간 연결이 자연스럽다.",0
12,13451,organization_1,설득,dis_SBERT,"갈등의 정의, 부정적 인식, 필요악으로서의 재해석이라는 소주제를 중심으로 문단을 체계적으로 구성하였으며, '보통', '그래서', '예를 들어', '이렇듯' 등의 연결어를 통해 문장 간 연결이 자연스럽다.",1
12,13451,organization_1,설득,dis_nonSBERT,"갈등의 정의, 부정적 인식, 필요악으로서의 재해석이라는 소주제를 중심으로 문단을 체계적으로 구성하였으며, '보통', '그래서', '예를 들어', '이렇듯' 등의 연결어를 통해 문장 간 연결이 자연스럽다.",1
12,13451,organization_1,설득,lex,"갈등의 정의, 부정적 인식, 필요악으로서의 재해석이라는 소주제를 중심으로 문단을 체계적으로 구성하였으며, '보통', '그래서', '예를 들어', '이렇듯' 등의 연결어를 통해 문장 간 연결이 자연스럽다.",0
12,13451,organization_1,설득,meta,"갈등의 정의, 부정적 인식, 필요악으로서의 재해석이라는 소주제를 중심으로 문단을 체계적으로 구성하였으며, '보통', '그래서', '예를 들어', '이렇듯' 등의 연결어를 통해 문장 간 연결이 자연스럽다.",0
12,13451,organization_1,설득,morph_prop,"갈등의 정의, 부정적 인식, 필요악으로서의 재해석이라는 소주제를 중심으로 문단을 체계적으로 구성하였으며, '보통', '그래서', '예를 들어', '이렇듯' 등의 연결어를 통해 문장 간 연결이 자연스럽다.",0
12,13451,organization_1,설득,syn,"갈등의 정의, 부정적 인식, 필요악으로서의 재해석이라는 소주제를 중심으로 문단을 체계적으로 구성하였으며, '보통', '그래서', '예를 들어', '이렇듯' 등의 연결어를 통해 문장 간 연결이 자연스럽다.",0
12,13451,organization_1,설득,vocab_grade,"갈등의 정의, 부정적 인식, 필요악으로서의 재해석이라는 소주제를 중심으로 문단을 체계적으로 구성하였으며, '보통', '그래서', '예를 들어', '이렇듯' 등의 연결어를 통해 문장 간 연결이 자연스럽다.",0
13,12707,content_1,설명,case_marker,"표정과 말투라는 두 설명 대상에 초점을 맞추어, 표정이 감정 상태를 시각적으로 표현하고 감정적 반응을 직관적으로 전달한다는 점과 말투가 감정의 뉘앙스를 전달하며 따뜻함과 존중 또는 긴장감을 일으킨다는 점을 분석적으로 제시하였다.",0
13,12707,content_1,설명,dis_SBERT,"표정과 말투라는 두 설명 대상에 초점을 맞추어, 표정이 감정 상태를 시각적으로 표현하고 감정적 반응을 직관적으로 전달한다는 점과 말투가 감정의 뉘앙스를 전달하며 따뜻함과 존중 또는 긴장감을 일으킨다는 점을 분석적으로 제시하였다.",1
13,12707,content_1,설명,dis_nonSBERT,"표정과 말투라는 두 설명 대상에 초점을 맞추어, 표정이 감정 상태를 시각적으로 표현하고 감정적 반응을 직관적으로 전달한다는 점과 말투가 감정의 뉘앙스를 전달하며 따뜻함과 존중 또는 긴장감을 일으킨다는 점을 분석적으로 제시하였다.",0
13,12707,content_1,설명,lex,"표정과 말투라는 두 설명 대상에 초점을 맞추어, 표정이 감정 상태를 시각적으로 표현하고 감정적 반응을 직관적으로 전달한다는 점과 말투가 감정의 뉘앙스를 전달하며 따뜻함과 존중 또는 긴장감을 일으킨다는 점을 분석적으로 제시하였다.",0
13,12707,content_1,설명,meta,"표정과 말투라는 두 설명 대상에 초점을 맞추어, 표정이 감정 상태를 시각적으로 표현하고 감정적 반응을 직관적으로 전달한다는 점과 말투가 감정의 뉘앙스를 전달하며 따뜻함과 존중 또는 긴장감을 일으킨다는 점을 분석적으로 제시하였다.",0
13,12707,content_1,설명,morph_prop,"표정과 말투라는 두 설명 대상에 초점을 맞추어, 표정이 감정 상태를 시각적으로 표현하고 감정적 반응을 직관적으로 전달한다는 점과 말투가 감정의 뉘앙스를 전달하며 따뜻함과 존중 또는 긴장감을 일으킨다는 점을 분석적으로 제시하였다.",0
13,12707,content_1,설명,syn,"표정과 말투라는 두 설명 대상에 초점을 맞추어, 표정이 감정 상태를 시각적으로 표현하고 감정적 반응을 직관적으로 전달한다는 점과 말투가 감정의 뉘앙스를 전달하며 따뜻함과 존중 또는 긴장감을 일으킨다는 점을 분석적으로 제시하였다.",0
13,12707,content_1,설명,vocab_grade,"표정과 말투라는 두 설명 대상에 초점을 맞추어, 표정이 감정 상태를 시각적으로 표현하고 감정적 반응을 직관적으로 전달한다는 점과 말투가 감정의 뉘앙스를 전달하며 따뜻함과 존중 또는 긴장감을 일으킨다는 점을 분석적으로 제시하였다.",0
14,6434,expression_2,설득,case_marker,어법에 맞는 맞춤법과 띄어쓰기를 사용하였다. '못할것이다'의 띄어쓰기 오류와 문체 혼용('입니다'와 '이다'의 혼재)이 일부 관찰되나 전반적으로 어법에 맞게 작성되었다.,0
14,6434,expression_2,설득,dis_SBERT,어법에 맞는 맞춤법과 띄어쓰기를 사용하였다. '못할것이다'의 띄어쓰기 오류와 문체 혼용('입니다'와 '이다'의 혼재)이 일부 관찰되나 전반적으로 어법에 맞게 작성되었다.,0
14,6434,expression_2,설득,dis_nonSBERT,어법에 맞는 맞춤법과 띄어쓰기를 사용하였다. '못할것이다'의 띄어쓰기 오류와 문체 혼용('입니다'와 '이다'의 혼재)이 일부 관찰되나 전반적으로 어법에 맞게 작성되었다.,0
14,6434,expression_2,설득,lex,어법에 맞는 맞춤법과 띄어쓰기를 사용하였다. '못할것이다'의 띄어쓰기 오류와 문체 혼용('입니다'와 '이다'의 혼재)이 일부 관찰되나 전반적으로 어법에 맞게 작성되었다.,0
14,6434,expression_2,설득,meta,어법에 맞는 맞춤법과 띄어쓰기를 사용하였다. '못할것이다'의 띄어쓰기 오류와 문체 혼용('입니다'와 '이다'의 혼재)이 일부 관찰되나 전반적으로 어법에 맞게 작성되었다.,0
14,6434,expression_2,설득,morph_prop,어법에 맞는 맞춤법과 띄어쓰기를 사용하였다. '못할것이다'의 띄어쓰기 오류와 문체 혼용('입니다'와 '이다'의 혼재)이 일부 관찰되나 전반적으로 어법에 맞게 작성되었다.,1
